name,type,row_count,error
worker_analytics_events,table,9867,
agentsam_cron_runs,table,8005,
dashboard_versions,table,5326,
agentsam_skill_invocation,table,5123,
r2_object_inventory,table,4726,
agentsam_execution_performance_metrics,table,2048,
v_agentsam_route_capability_tool_matches,view,1693,
v_agentsam_route_capability_tool_matches_deduped,view,1673,
system_health_snapshots,table,1475,
deployment_tracking,table,1370,
terminal_history,table,1280,
context_search_log,table,1152,
mcp_agent_sessions,table,1116,
email_logs,table,1030,
notifications,table,943,
deployment_notifications,table,936,
agentsam_workflow_nodes,table,929,
agentsam_workflow_edges,table,816,
agentsam_execution_steps,table,779,
mcp_audit_log,table,729,
agentsam_webhook_events,table,718,
ai_api_test_runs,table,708,
agentsam_routing_arms,table,703,
agentsam_commands,table,618,
agentsam_plan_tasks,table,618,
agentsam_command_allowlist,table,578,
agentsam_mcp_allowlist,table,462,
worker_analytics_hourly,table,460,
agentsam_hook_execution,table,438,
agentsam_performance_eto_events,table,434,
tracking_metrics,table,385,
pty_health_events,table,378,
d1_migrations,table,358,
agentsam_scripts,table,351,
agentsam_command_run,table,340,
auth_sessions,table,335,
agentsam_executions,table,319,
agentsam_skill,table,308,
roadmap_steps,table,292,
auth_event_log,table,280,
agentsam_workflow_handlers,table,276,
agentsam_mcp_tools,table,269,
v_mcp_tool_drift,view,269,
v_agentsam_mcp_tools_branded,view,267,
v_agentsam_mcp_tools_canonical,view,251,
agentsam_escalation,table,242,
quality_checks,table,233,
agentsam_workflow_runs,table,224,
agentsam_artifacts,table,198,
quality_results,table,198,
agentsam_todo,table,197,
commands,table,195,
agentsam_deployment_health,table,193,
iam_deploy_log,table,189,
integration_events,table,188,
agentsam_memory,table,178,
agentsam_mcp_tool_execution,table,176,
agentsam_capability_aliases,table,172,
project_memory,table,170,
agentsam_execution_context,table,169,
agentsam_tool_call_log,table,168,
course_lessons,table,162,
agentsam_tool_chain,table,153,
env_audit_log,table,152,
agentsam_error_log,table,150,
spend_ledger,table,148,
agentsam_workflows,table,142,
terminal_sessions,table,142,
agentsam_eval_runs,table,135,
worker_analytics_errors,table,130,
otlp_traces,table,127,
ai_rag_search_history,table,123,
ai_knowledge_base,table,121,
security_shield_rules,table,117,
ui_loading_states,table,117,
r2_bucket_list,table,112,
cms_themes,table,110,
agentsam_ai,table,109,
r2_buckets,table,109,
deployments,table,108,
r2_bucket_summary,table,107,
agentsam_tools,table,105,
cms_assets,table,102,
data_retention_policies,table,99,
agentsam_eval_cases,table,92,
settings,table,90,
agentsam_model_catalog,table,89,
agentsam_plans,table,88,
env_secrets,table,87,
agentsam_tool_stats_compacted,table,84,
agentsam_project_context,table,80,
course_modules,table,78,
cicd_pipeline_runs,view,77,
pipeline_runs,table,77,
playwright_jobs,table,77,
agentsam_analytics,table,76,
ai_prompts_library,table,76,
v_agentsam_mcp_tool_category_summary,view,74,
ai_models,table,70,
agentsam_prompt_routes,table,66,
agentsam_table_inventory,table,65,
agentsam_table_eval_cases,table,64,
r2_objects,table,64,
r2_objects_fts,table,64,
r2_objects_fts_docsize,table,64,
rag_query_log,table,64,
agentsam_route_requirements,table,62,
course_progress,table,62,
autorag,table,61,
agentsam_mcp_workflows,table,60,
agentsam_script_runs,table,60,
dashboard_assets,table,60,
worker_env,table,59,
company_patterns,table,58,
agentsam_usage_events,table,57,
kanban_tasks,table,57,
agentsam_cookbook,table,53,
agentsam_subagent_profile,table,53,
daily_snapshots,table,50,
agentsam_eval_suites,table,49,
client_workflow_activity,table,49,
cms_site_pages,table,49,
rag_ingest_log,table,48,
agentsam_prompt_versions,table,47,
cms_page_sections,table,47,
agentsam_mcp_oauth_tool_allowlist,table,46,
agentsam_tool_cache,table,46,
ai_generation_logs,table,46,
ai_workflow_executions,table,46,
agentsam_usage_rollups_daily,table,45,
ai_workflow_pipelines,table,44,
agentsam_compaction_events,table,43,
app_icons,table,43,
course_assignments,table,43,
projects,table,43,
workers,table,43,
calendar_events,table,42,
workspace_audit_log,table,41,
agentsam_model_pricing,table,40,
mcp_tool_calls,table,40,
worker_registry,table,40,
launch_milestones,table,39,
products_pricing_catalog,table,38,
tool_invocations,table,37,
agentsam_workspace,table,35,
mcp_workflows,table,35,
tenant_workspaces,table,35,
